X,Y,Z,phie,vsh,kv,sw,Facies,WellID
11500.00000,1260.00000,39.62500,0.20758,0.31688,24.44947,0.40562,1.00000,11.00000
6500.00000,7700.00000,34.62500,0.21899,0.27469,83.99504,0.69259,1.00000,12.00000
6500.00000,7700.00000,35.12500,0.23520,0.23816,162.44032,0.68649,1.00000,12.00000
6500.00000,7700.00000,35.62500,0.21626,0.27595,87.20567,0.54747,1.00000,12.00000
6500.00000,7700.00000,36.12500,0.23960,0.26356,179.61198,0.45994,1.00000,12.00000
6500.00000,7700.00000,36.62500,0.19090,0.16639,937.64067,0.66994,1.00000,12.00000
6500.00000,7700.00000,37.12500,0.22123,0.21226,213.53395,0.41788,1.00000,12.00000
6500.00000,7700.00000,37.62500,0.25948,0.14608,272.40753,0.37183,1.00000,12.00000
4900.00000,6020.00000,53.87500,0.30231,0.17590,539.21788,0.20232,1.00000,13.00000
4900.00000,6020.00000,54.37500,0.25956,0.29361,147.51006,0.30269,1.00000,13.00000
4900.00000,6020.00000,56.37500,0.29624,0.23904,456.52632,0.21199,1.00000,13.00000
4900.00000,6020.00000,56.87500,0.35901,0.21489,279.54328,0.23098,1.00000,13.00000
4900.00000,6020.00000,57.37500,0.26938,0.27568,227.60563,0.28569,1.00000,13.00000
4900.00000,6020.00000,57.87500,0.31737,0.21881,651.82380,0.32680,1.00000,13.00000
4900.00000,6020.00000,60.37500,0.18987,0.44718,11.01423,0.39092,1.00000,13.00000
4900.00000,6020.00000,61.37500,0.18962,0.37444,29.72361,0.39107,1.00000,13.00000
4900.00000,6020.00000,61.87500,0.19736,0.36054,70.36016,0.33308,1.00000,13.00000
4900.00000,6020.00000,64.37500,0.25112,0.18982,294.03874,0.43023,1.00000,13.00000
4900.00000,6020.00000,64.87500,0.20615,0.08227,598.27705,0.59179,1.00000,13.00000
4900.00000,6020.00000,65.37500,0.18487,0.17286,106.28669,0.68055,1.00000,13.00000
3700.00000,10500.00000,32.37500,0.26180,0.23624,315.74333,0.24256,1.00000,14.00000
3700.00000,10500.00000,39.87500,0.17438,0.35410,12.25096,0.33545,1.00000,14.00000
3700.00000,10500.00000,40.37500,0.20534,0.32545,45.68503,0.33122,1.00000,14.00000
3700.00000,10500.00000,40.87500,0.20582,0.38690,42.79158,0.32948,1.00000,14.00000
3700.00000,10500.00000,43.37500,0.07855,0.61528,0.07426,0.67796,1.00000,14.00000
3700.00000,10500.00000,55.37500,0.24989,0.26777,227.29885,0.36552,1.00000,14.00000
2100.00000,9660.00000,46.50000,0.27285,0.27924,285.31474,0.58572,1.00000,18.00000
2100.00000,9660.00000,48.50000,0.31016,0.06519,695.95056,0.57587,1.00000,18.00000
2100.00000,9660.00000,49.00000,0.31198,0.03397,674.57230,0.41625,1.00000,18.00000
3900.00000,5460.00000,35.50000,0.23102,0.08373,4598.77300,0.27457,1.00000,19.00000
3900.00000,5460.00000,56.00000,0.30947,0.14331,703.09621,0.13919,1.00000,19.00000
8700.00000,14140.00000,39.50000,0.30345,0.16502,708.49216,0.13986,1.00000,20.00000
8700.00000,14140.00000,40.00000,0.29989,0.15335,703.14273,0.15551,1.00000,20.00000
1500.00000,12740.00000,38.50000,0.27203,0.19762,366.00164,0.32099,1.00000,21.00000
1500.00000,12740.00000,39.00000,0.27720,0.20423,465.03085,0.29278,1.00000,21.00000
1500.00000,12740.00000,39.50000,0.27461,0.19342,539.88332,0.31791,1.00000,21.00000
1500.00000,12740.00000,40.00000,0.28561,0.09770,1576.51980,0.30253,1.00000,21.00000
1500.00000,12740.00000,40.50000,0.24999,0.12529,1935.52930,0.36396,1.00000,21.00000
1500.00000,12740.00000,50.00000,0.26978,0.16697,356.22402,0.51769,1.00000,21.00000
1500.00000,12740.00000,51.00000,0.24926,0.23792,181.66618,0.37899,1.00000,21.00000
1500.00000,12740.00000,51.50000,0.22825,0.25978,109.74237,0.54417,1.00000,21.00000
1500.00000,12740.00000,52.00000,0.17807,0.37581,36.76482,0.41750,1.00000,21.00000
1500.00000,11900.00000,29.12500,0.37591,0.05587,955.45241,0.09613,1.00000,22.00000
1500.00000,11900.00000,37.12500,0.23275,0.30794,55.28185,0.44494,1.00000,22.00000
1500.00000,11900.00000,37.62500,0.23144,0.29559,68.49260,0.40435,1.00000,22.00000
1500.00000,11900.00000,45.62500,0.19135,0.36208,63.64195,0.39026,1.00000,22.00000
1500.00000,11900.00000,47.12500,0.21301,0.26749,76.28284,0.40817,1.00000,22.00000
1500.00000,11900.00000,48.12500,0.26868,0.09884,575.49111,0.34833,1.00000,22.00000
1500.00000,11900.00000,49.12500,0.23080,0.27701,76.36703,0.36027,1.00000,22.00000
1500.00000,11900.00000,56.62500,0.18779,0.49362,10.21707,0.30437,1.00000,22.00000
1500.00000,11900.00000,57.12500,0.17774,0.51657,6.25901,0.31744,1.00000,22.00000
5500.00000,12740.00000,32.75000,0.35177,0.51543,67.06975,0.25930,1.00000,23.00000
5500.00000,12740.00000,54.75000,0.26189,0.11957,322.49585,0.37866,1.00000,23.00000
5500.00000,12740.00000,55.25000,0.26798,0.16046,329.59052,0.36141,1.00000,23.00000
5500.00000,12740.00000,55.75000,0.27814,0.14606,428.85894,0.45477,1.00000,23.00000
5500.00000,12740.00000,58.75000,0.30962,0.16704,572.08084,0.24230,1.00000,23.00000
5500.00000,12740.00000,59.25000,0.27600,0.21620,304.58940,0.32048,1.00000,23.00000
5500.00000,12740.00000,71.25000,0.17438,0.38237,6.01460,0.39919,1.00000,23.00000
5700.00000,9380.00000,35.12500,0.21905,0.31345,41.99954,0.32102,1.00000,24.00000
5700.00000,9380.00000,35.62500,0.21885,0.33457,41.65968,0.35474,1.00000,24.00000
5700.00000,9380.00000,37.12500,0.22978,0.33816,65.02513,0.36783,1.00000,24.00000
5700.00000,9380.00000,58.12500,0.11284,0.52910,2.31812,0.51133,1.00000,24.00000
2100.00000,2380.00000,49.50000,0.22948,0.29981,229.54255,0.38132,1.00000,25.00000
2100.00000,2380.00000,50.00000,0.25036,0.28584,218.80019,0.30601,1.00000,25.00000
2100.00000,2380.00000,51.00000,0.23523,0.32922,113.08291,0.34328,1.00000,25.00000
2100.00000,2380.00000,51.50000,0.25513,0.25247,179.58131,0.40049,1.00000,25.00000
2100.00000,2380.00000,52.00000,0.25040,0.27993,179.50720,0.34265,1.00000,25.00000
8700.00000,2660.00000,38.62500,0.31237,0.13643,709.08474,0.15044,1.00000,26.00000
500.00000,7980.00000,42.75000,0.26751,0.22934,290.40657,0.32321,1.00000,27.00000
500.00000,7980.00000,44.25000,0.30198,0.12548,511.78643,0.35101,1.00000,27.00000
500.00000,7980.00000,45.25000,0.29833,0.14756,398.45546,0.52514,1.00000,27.00000
500.00000,7980.00000,45.75000,0.26249,0.20805,196.82681,0.74526,1.00000,27.00000
500.00000,7980.00000,51.75000,0.20178,0.34119,17.81729,0.48696,1.00000,27.00000
2100.00000,4620.00000,36.87500,0.25055,0.25768,223.52909,0.32425,1.00000,28.00000
1700.00000,4900.00000,40.62500,0.20850,0.27097,24.35289,0.70591,1.00000,30.00000
1700.00000,4900.00000,41.12500,0.20845,0.25496,20.78893,0.76333,1.00000,30.00000
10900.00000,4060.00000,45.00000,0.20495,0.43522,23.49273,0.34804,1.00000,31.00000
10900.00000,4060.00000,45.50000,0.17805,0.44819,6.04048,0.40083,1.00000,31.00000
10900.00000,4060.00000,46.00000,0.19457,0.40253,22.72981,0.38142,1.00000,31.00000
10900.00000,4060.00000,65.50000,0.25352,0.26748,179.60986,0.11372,1.00000,31.00000
2100.00000,2100.00000,49.75000,0.25323,0.16841,243.19297,0.38221,1.00000,32.00000
2100.00000,2100.00000,51.75000,0.28225,0.07374,485.87012,0.36616,1.00000,32.00000
8100.00000,6860.00000,31.25000,0.16444,0.37527,2.23694,0.46163,1.00000,36.00000
8100.00000,6860.00000,31.75000,0.18502,0.33186,6.20521,0.36544,1.00000,36.00000
8100.00000,6860.00000,36.25000,0.30723,0.11846,922.44893,0.36568,1.00000,36.00000
8100.00000,6860.00000,37.25000,0.27303,0.08729,469.71915,0.40096,1.00000,36.00000
6900.00000,11620.00000,33.62500,0.17492,0.48470,6.66438,0.33122,1.00000,37.00000
6900.00000,11620.00000,34.12500,0.19338,0.34356,21.17507,0.36342,1.00000,37.00000
6900.00000,11620.00000,58.62500,0.11388,0.59884,0.17272,0.64204,1.00000,37.00000
6900.00000,11620.00000,59.62500,0.18671,0.34930,6.74400,0.50199,1.00000,37.00000
6900.00000,11620.00000,60.12500,0.21739,0.27345,34.98854,0.59179,1.00000,37.00000
6900.00000,11620.00000,62.12500,0.24143,0.19387,133.72796,0.36078,1.00000,37.00000
6900.00000,11620.00000,62.62500,0.26249,0.16654,213.25591,0.27463,1.00000,37.00000
